Version	GMID-X v 1.5
Kit type:	MICROSATELLITE
Chemistry Kit	AmpFLSTR_Panels_v5X	null
Panel	COfiler_v1.4X	null
FGA	red	136.4	296.4	24,26	4	none	false	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 26.2, 27, 28, 29, 30, 30.2, 31.2, 32.2, 33.2, 42.2, 43.2, 44.2, 45.2, 46.2, 47.2, 48.2, 50.2, 51.2, 
Panel	Yfiler_v1.4X	null
B_DYS456	blue	100.0	127.0	15	4	none	false	13, 14, 15, 16, 17, 18, 
B_DYS389I	blue	134.0	178.0	13	4	none	false	10, 11, 12, 13, 14, 15, 
B_DYS390	blue	185.0	245.0	24	4	none	false	18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 
B_DYS389II	blue	246.0	302.0	29	4	none	false	24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 
G_DYS458	green	133.0	165.0	17	4	none	false	14, 15, 16, 17, 18, 19, 20, 
G_DYS19	green	167.0	219.0	15	4	none	false	10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 
G_DYS385	green	235.0	323.0	11,14	4	none	false	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 
Y_DYS393	yellow	104.0	144.0	13	4	none	false	8, 9, 10, 11, 12, 13, 14, 15, 16, 
Y_DYS391	yellow	146.0	181.0	11	4	none	false	7, 8, 9, 10, 11, 12, 13, 
Y_DYS439	yellow	192.0	236.0	12	4	none	false	8, 9, 10, 11, 12, 13, 14, 15, 
Y_DYS635	yellow	241.0	274.0	24	4	none	false	20, 21, 22, 23, 24, 25, 26, 
Y_DYS392	yellow	286.0	335.0	13	3	none	false	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 
R_Y_GATA_H4	red	114.0	150.0	13	4	none	false	8, 9, 10, 11, 12, 13, 
R_DYS437	red	174.0	210.0	15	4	none	false	13, 14, 15, 16, 17, 
R_DYS438	red	215.5	256.5	12	5	none	false	8, 9, 10, 11, 12, 13, 
R_DYS448	red	273.0	332.0	19	6	none	false	17, 18, 19, 20, 21, 22, 23, 24, 
Panel	NGM_SElect_v2.4X	null
D10S1248	blue	72.0	127.0	12,15	4	none	false	8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 
vWA	blue	149.0	214.3	14,16	4	none	false	11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 
D16S539	blue	223.6	277.6	9,10	4	none	false	5, 8, 9, 10, 11, 12, 13, 14, 15, 
D2S1338	blue	281.6	356.0	20,23	4	none	false	15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 
AMEL	green	100.0	108.0	x,y	9	none	false	X, Y, 
D8S1179	green	117.9	174.9	12,13	4	none	false	8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 
D21S11	green	178.8	249.8	28,31	4	none	false	24, 24.2, 25, 26, 27, 28, 28.2, 29, 29.2, 30, 30.2, 31, 31.2, 32, 32.2, 33, 33.2, 34, 34.2, 35, 35.2, 36, 37, 38, 
D18S51	green	259.5	347.5	12,15	4	none	false	7, 9, 10, 10.2, 11, 12, 13, 13.2, 14, 14.2, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 
D22S1045	yellow	76.0	120.0	11,16	3	none	false	8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 
D19S433	yellow	122.3	166.3	14,15	4	none	false	9, 10, 11, 12, 12.2, 13, 13.2, 14, 14.2, 15, 15.2, 16, 16.2, 17, 17.2, 
TH01	yellow	176.4	221.1	7,9.3	4	none	false	4, 5, 6, 7, 8, 9, 9.3, 10, 11, 13.3, 
FGA	yellow	221.6	372.0	24,26	4	none	false	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 26.2, 27, 28, 29, 30, 30.2, 31.2, 32.2, 33.2, 42.2, 43.2, 44.2, 45.2, 46.2, 47.2, 48.2, 50.2, 51.2, 
D2S441	red	74.5	113.4	14,15	4	none	false	9, 10, 11, 11.3, 12, 13, 14, 15, 16, 
D3S1358	red	114.4	168.4	15,16	4	none	false	12, 13, 14, 15, 16, 17, 18, 19, 
D1S1656	red	170.0	224.0	13,16	4	none	false	9, 10, 11, 12, 13, 14, 14.3, 15, 15.3, 16, 16.3, 17, 17.3, 18.3, 19.3, 20.3, 
D12S391	red	225.0	287.0	18,19	4	none	false	14, 15, 16, 17, 18, 19, 19.3, 20, 21, 22, 23, 24, 25, 26, 27, 
SE33	red	295.0	440.0	17,25.2	4	none	false	4.2, 6.3, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 20.2, 21, 21.2, 22.2, 23.2, 24.2, 25.2, 26.2, 27.2, 28.2, 29.2, 30.2, 31.2, 32.2, 33.2, 34.2, 35, 35.2, 36, 37, 
Panel	NGM_v3.4X	null
D10S1248	blue	72.0	127.0	12,15	4	none	false	8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 
vWA	blue	149.0	214.3	14,16	4	none	false	11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 
D16S539	blue	223.6	277.6	9,10	4	none	false	5, 8, 9, 10, 11, 12, 13, 14, 15, 
D2S1338	blue	281.6	356.0	20,23	4	none	false	15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 
AMEL	green	100.0	108.0	x,y	9	none	false	X, Y, 
D8S1179	green	117.9	174.9	12,13	4	none	false	8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 
D21S11	green	178.8	249.8	28,31	4	none	false	24, 24.2, 25, 26, 27, 28, 28.2, 29, 29.2, 30, 30.2, 31, 31.2, 32, 32.2, 33, 33.2, 34, 34.2, 35, 35.2, 36, 37, 38, 
D18S51	green	259.5	347.5	12,15	4	none	false	7, 9, 10, 10.2, 11, 12, 13, 13.2, 14, 14.2, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 
D22S1045	yellow	76.0	120.0	11,16	3	none	false	8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 
D19S433	yellow	122.3	166.3	14,15	4	none	false	9, 10, 11, 12, 12.2, 13, 13.2, 14, 14.2, 15, 15.2, 16, 16.2, 17, 17.2, 
TH01	yellow	176.4	221.1	7,9.3	4	none	false	4, 5, 6, 7, 8, 9, 9.3, 10, 11, 13.3, 
FGA	yellow	221.6	372.0	24,26	4	none	false	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 26.2, 27, 28, 29, 30, 30.2, 31.2, 32.2, 33.2, 42.2, 43.2, 44.2, 45.2, 46.2, 47.2, 48.2, 50.2, 51.2, 
D2S441	red	74.5	113.4	14,15	4	none	false	9, 10, 11, 11.3, 12, 13, 14, 15, 16, 
D3S1358	red	114.4	168.4	15,16	4	none	false	12, 13, 14, 15, 16, 17, 18, 19, 
D1S1656	red	170.0	224.0	13,16	4	none	false	9, 10, 11, 12, 13, 14, 14.3, 15, 15.3, 16, 16.3, 17, 17.3, 18.3, 19.3, 20.3, 
D12S391	red	225.0	287.0	18,19	4	none	false	14, 15, 16, 17, 18, 19, 19.3, 20, 21, 22, 23, 24, 25, 26, 27, 
Panel	Profiler_Plus_CODIS_v1.4X	null
D3S1358	blue	98.0	148.0	14,15	4	none	false	12, 13, 14, 15, 16, 17, 18, 19, 
vWA	blue	151.0	203.0	17,18	4	none	false	11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 
FGA	blue	206.25	360.0	23,24	4	none	false	18, 19, 20, 21, 22, 23, 24, 25, 26, 26.2, 27, 28, 29, 30, 
AMEL	green	106.0	114.0	x	9	none	false	X, Y, 
D8S1179	green	118.0	183.5	13	4	none	false	8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 
D21S11	green	184.5	247.5	30	4	none	false	24.2, 25, 26, 27, 28, 28.2, 29, 29.2, 30, 30.2, 31, 31.2, 32, 32.2, 33, 33.2, 34, 34.2, 35, 35.2, 36, 38, 
D18S51	green	264.49	350.0	15,19	4	none	false	9, 10, 10.2, 11, 12, 13, 13.2, 14, 14.2, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 
D5S818	yellow	128.0	180.0	11	4	none	false	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 
D13S317	yellow	192.0	242.0	11	4	none	false	8, 9, 10, 11, 12, 13, 14, 15, 
D7S820	yellow	251.0	298.5	10,11	4	none	false	6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
Panel	Profiler_Plus_v1.4X	null
D3S1358	blue	98.0	148.0	14,15	4	none	false	12, 13, 14, 15, 16, 17, 18, 19, 
vWA	blue	151.0	203.0	17,18	4	none	false	11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 
FGA	blue	206.25	360.0	23,24	4	none	false	18, 19, 20, 21, 22, 23, 24, 25, 26, 26.2, 27, 28, 29, 30, 
AMEL	green	106.0	114.0	x	9	none	false	X, Y, 
D8S1179	green	118.0	183.5	13	4	none	false	8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 
D21S11	green	184.5	247.5	30	4	none	false	24.2, 25, 26, 27, 28, 28.2, 29, 29.2, 30, 30.2, 31, 31.2, 32, 32.2, 33, 33.2, 34, 34.2, 35, 35.2, 36, 38, 
D18S51	green	264.49	350.0	15,19	4	none	false	9, 10, 10.2, 11, 12, 13, 13.2, 14, 14.2, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 
D5S818	yellow	128.0	180.0	11	4	none	false	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 
D13S317	yellow	192.0	242.0	11	4	none	false	8, 9, 10, 11, 12, 13, 14, 15, 
D7S820	yellow	251.0	298.5	10,11	4	none	false	6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
Panel	Yfiler_Plus_Panel_v4	null
DYS576	Blue	68.0	138.0	19	4	none	false	10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 
