Version	GMID-X v 1.2
Chemistry Kit	AmpFLSTR_Panels_v5X
BinSet Name	AmpFLSTR_Bins_v5X
Panel Name	COfiler_v1.4X
Marker Name	D3S1358
23.2	331.0	0.5	0.5	virtual
24	333.0	0.5	0.5	
25	337.0	0.5	0.5	
26	341.0	0.5	0.5	
27	345.0	0.5	0.5	
Marker Name	D19S433
9	106.0	0.5	0.5	
9.2	108.0	0.5	0.5	virtual
10	110.0	0.5	0.5	
10.2	112.0	0.5	0.5	virtual
11	114.0	0.5	0.5	
11.2	116.0	0.5	0.5	virtual
12	118.0	0.5	0.5	
12.2	120.0	0.5	0.5	
13	122.0	0.5	0.5	
13.2	124.0	0.5	0.5	
14	126.0	0.5	0.5	
14.2	128.0	0.5	0.5	
15	130.0	0.5	0.5	
15.2	132.0	0.5	0.5	
16	134.0	0.5	0.5	
16.2	136.0	0.5	0.5	
17	138.0	0.5	0.5	
17.2	140.0	0.5	0.5	
18	142.0	0.5	0.5	virtual
18.2	144.0	0.5	0.5	virtual
Marker Name	TH01
3	161.0	0.5	0.5	virtual
4	165.0	0.5	0.5	
5	169.0	0.5	0.5	
5.3	172.0	0.5	0.4	virtual
6	173.0	0.4	0.5	
6.3	176.0	0.5	0.4	virtual
7	177.0	0.4	0.5	
7.3	180.0	0.5	0.4	virtual
8	181.0	0.4	0.5	
8.3	184.0	0.5	0.4	virtual
9	185.0	0.4	0.5	
9.3	188.0	0.5	0.4	
10	189.0	0.4	0.5	
10.3	192.0	0.5	0.4	virtual
11	193.0	0.4	0.5	
12	197.0	0.5	0.5	virtual
13	201.0	0.5	0.5	virtual
13.3	204.0	0.5	0.5	
Marker Name	FGA
16	211.0	0.5	0.5	virtual
16.2	213.0	0.5	0.5	virtual
17	215.0	0.5	0.5	
17.2	217.0	0.5	0.5	virtual
18	219.0	0.5	0.5	
18.2	221.0	0.5	0.5	virtual
19	223.0	0.5	0.5	
19.2	225.0	0.5	0.5	virtual
20	227.0	0.5	0.5	
20.2	229.0	0.5	0.5	virtual
21	231.0	0.5	0.5	
21.2	233.0	0.5	0.5	virtual
22	235.0	0.5	0.5	
22.2	237.0	0.5	0.5	virtual
23	239.0	0.5	0.5	
23.2	241.0	0.5	0.5	virtual
24	243.0	0.5	0.5	
24.2	245.0	0.5	0.5	virtual
25	247.0	0.5	0.5	
25.2	249.0	0.5	0.5	virtual
26	251.0	0.5	0.5	
26.2	253.0	0.5	0.5	
27	255.0	0.5	0.5	
27.2	257.0	0.5	0.5	virtual
28	259.0	0.5	0.5	
28.2	261.0	0.5	0.5	virtual
29	263.0	0.5	0.5	
29.2	265.0	0.5	0.5	virtual
30	267.0	0.5	0.5	
30.2	269.0	0.5	0.5	
31	271.0	0.5	0.5	virtual
31.2	273.0	0.5	0.5	
32	275.0	0.5	0.5	virtual
32.2	277.0	0.5	0.5	
33.2	281.0	0.5	0.5	
34.2	285.0	0.5	0.5	virtual
42.2	317.0	0.5	0.5	
43.2	321.0	0.5	0.5	
44.2	325.0	0.5	0.5	
45.2	329.0	0.5	0.5	
46.2	333.0	0.5	0.5	
47.2	337.0	0.5	0.5	
48.2	341.0	0.5	0.5	
49.2	345.0	0.5	0.5	virtual
50.2	349.0	0.5	0.5	
51.2	353.0	0.5	0.5	
Panel Name	SEfiler_Plus_v1.4X
Marker Name	D3S1358
11	110.0	0.5	0.5	virtual
12	114.0	0.5	0.5	
13	118.0	0.5	0.5	
14	122.0	0.5	0.5	
15	126.0	0.5	0.5	
15.2	128.0	0.5	0.5	virtual
16	130.0	0.5	0.5	
16.2	132.0	0.5	0.5	virtual
17	134.0	0.5	0.5	
17.2	136.0	0.5	0.5	virtual
18	138.0	0.5	0.5	
18.2	140.0	0.5	0.5	virtual
19	142.0	0.5	0.5	
20	146.0	0.5	0.5	virtual
Marker Name	vWA
10	153.0	0.5	0.5	virtual
11	157.0	0.5	0.5	
12	161.0	0.5	0.5	
13	165.0	0.5	0.5	
14	169.0	0.5	0.5	
15	173.0	0.5	0.5	
15.2	175.0	0.5	0.5	virtual
16	177.0	0.5	0.5	
17	181.0	0.5	0.5	
18	185.0	0.5	0.5	
18.2	187.0	0.5	0.5	virtual
19	189.0	0.5	0.5	
20	193.0	0.5	0.5	
21	197.0	0.5	0.5	
22	201.0	0.5	0.5	
23	205.0	0.5	0.5	
24	209.0	0.5	0.5	
25	213.0	0.5	0.5	virtual
Marker Name	D16S539
5	234.0	0.5	0.5	
6	238.0	0.5	0.5	virtual
7	242.0	0.5	0.5	virtual
8	246.0	0.5	0.5	
9	250.0	0.5	0.5	
10	254.0	0.5	0.5	
11	258.0	0.5	0.5	
12	262.0	0.5	0.5	
12.2	264.0	0.5	0.5	virtual
13	266.0	0.5	0.5	
14	270.0	0.5	0.5	
15	274.0	0.5	0.5	
16	278.0	0.5	0.5	virtual
Marker Name	D2S1338
14	285.0	0.5	0.5	virtual
15	289.0	0.5	0.5	
16	293.0	0.5	0.5	
17	297.0	0.5	0.5	
18	301.0	0.5	0.5	
19	305.0	0.5	0.5	
20	309.0	0.5	0.5	
21	313.0	0.5	0.5	
22	317.0	0.5	0.5	
23	321.0	0.5	0.5	
24	325.0	0.5	0.5	
25	329.0	0.5	0.5	
26	333.0	0.5	0.5	
27	337.0	0.5	0.5	
28	341.0	0.5	0.5	
29	345.0	0.5	0.5	virtual
Marker Name	AMEL
X	107.0	0.5	0.5	
Y	113.0	0.5	0.5	
Marker Name	D8S1179
7	124.0	0.5	0.5	virtual
8	128.0	0.5	0.5	
9	132.0	0.5	0.5	
10	136.0	0.5	0.5	
11	140.0	0.5	0.5	
12	144.0	0.5	0.5	
13	148.0	0.5	0.5	
14	152.0	0.5	0.5	
15	156.0	0.5	0.5	
16	160.0	0.5	0.5	
17	164.0	0.5	0.5	
18	168.0	0.5	0.5	
19	172.0	0.5	0.5	
20	176.0	0.5	0.5	virtual
Marker Name	SE33
4.2	203.0	0.5	0.5	
5	205.0	0.5	0.5	virtual
6	209.0	0.5	0.5	virtual
6.3	212.0	0.5	0.4	
7	213.0	0.4	0.5	virtual
8	217.0	0.5	0.5	
8.2	219.0	0.5	0.5	virtual
9	221.0	0.5	0.5	
9.2	223.0	0.5	0.5	virtual
10	225.0	0.5	0.5	virtual
10.2	227.0	0.5	0.5	virtual
11	229.0	0.5	0.5	
11.2	231.0	0.5	0.5	virtual
12	233.0	0.5	0.5	
12.2	235.0	0.5	0.5	virtual
13	237.0	0.5	0.5	
13.2	239.0	0.5	0.5	virtual
14	241.0	0.5	0.5	
14.2	243.0	0.5	0.5	virtual
15	245.0	0.5	0.5	
15.2	247.0	0.5	0.5	virtual
16	249.0	0.5	0.5	
16.2	251.0	0.5	0.5	virtual
17	253.0	0.5	0.5	
17.2	255.0	0.5	0.5	virtual
18	257.0	0.5	0.5	
18.2	259.0	0.5	0.5	virtual
19	261.0	0.5	0.5	
19.2	263.0	0.5	0.5	virtual
20	265.0	0.5	0.5	
20.2	267.0	0.5	0.5	
21	269.0	0.5	0.4	
21.1	270.0	0.4	0.4	
21.2	271.0	0.4	0.5	
22	273.0	0.5	0.5	virtual
22.2	275.0	0.5	0.5	
23	277.0	0.5	0.5	virtual
23.2	279.0	0.5	0.5	
24	281.0	0.5	0.5	virtual
24.2	283.0	0.5	0.5	
25	285.0	0.5	0.5	virtual
25.2	287.0	0.5	0.5	
26	289.0	0.5	0.5	virtual
26.2	291.0	0.5	0.5	
27	293.0	0.5	0.5	virtual
27.2	295.0	0.5	0.5	
28	297.0	0.5	0.5	virtual
28.2	299.0	0.5	0.5	
29	301.0	0.5	0.5	virtual
29.2	303.0	0.5	0.5	
30	305.0	0.5	0.5	virtual
30.2	307.0	0.5	0.5	
31	309.0	0.5	0.5	virtual
31.2	311.0	0.5	0.5	
32	313.0	0.5	0.5	virtual
32.2	315.0	0.5	0.5	
33	317.0	0.5	0.5	virtual
33.2	319.0	0.5	0.5	
34	321.0	0.5	0.5	virtual
34.2	323.0	0.5	0.5	
35	325.0	0.5	0.5	
35.2	327.0	0.5	0.5	
36	329.0	0.5	0.5	
36.2	331.0	0.5	0.5	virtual
37	333.0	0.5	0.5	
37.2	335.0	0.5	0.5	virtual
38	337.0	0.5	0.5	virtual
Marker Name	D19S433
9	106.0	0.5	0.5	
9.2	108.0	0.5	0.5	virtual
10	110.0	0.5	0.5	
10.2	112.0	0.5	0.5	virtual
11	114.0	0.5	0.5	
11.2	116.0	0.5	0.5	virtual
12	118.0	0.5	0.5	
12.2	120.0	0.5	0.5	
13	122.0	0.5	0.5	
13.2	124.0	0.5	0.5	
14	126.0	0.5	0.5	
14.2	128.0	0.5	0.5	
15	130.0	0.5	0.5	
15.2	132.0	0.5	0.5	
16	134.0	0.5	0.5	
16.2	136.0	0.5	0.5	
17	138.0	0.5	0.5	
17.2	140.0	0.5	0.5	
18	142.0	0.5	0.5	virtual
18.2	144.0	0.5	0.5	virtual
Marker Name	TH01
3	161.0	0.5	0.5	virtual
4	165.0	0.5	0.5	
5	169.0	0.5	0.5	
5.3	172.0	0.5	0.4	virtual
6	173.0	0.4	0.5	
6.3	176.0	0.5	0.4	virtual
