D1S1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Africa,America,Asia,Europe,AUSTRIA,BELGIUM,BOSNIA AND HERZEGOWINA,CROATIA,CZECH REPUBLIC,DENMARK,DOMINICAN REPUBLIC,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,KENYA,MONTENEGRO,NETHERLANDS,NORWAY,POLAND,SAUDI ARABIA,SLOVAKIA,SLOVENIA,SOUTH AFRICA,SPAIN,SWEDEN,SWITZERLAND,THAILAND,VIETNAM
21,"0,0430329","0,0997586","0,09","0,0463188","0,0306751","0,0361991","0,026699","0,0292398","0,03","0,0375","0,0125","0,09","0,0434783","0,0360577","0,0267516","0,0192308","0,0401786","0,0279605","0,0371367","0,119608","0,0375","0,0304702","0,0447761","0,0461165","0,0468451","0,0242915","0,0237307","0,0859482","0,0330396","0,0211765","0,0309375","0,0445","0,0515"
22,"0,0425751","0,127514","0,077","0,0449923","0,0284807","0,0294118","0,026699","0,0321637","0,017","0,025","0,035","0,077","0,00869565","0,03125","0,0273885","0,0192308","0,0200893","0,0296053","0,0279871","0,14902","0,0225","0,0314299","0,0373134","0,0218447","0,0143403","0,0222672","0,0342163","0,112551","0,0231278","0,0364706","0,030625","0,0515","0,0415"
23,"0,120258","0,0981496","0,1095","0,168693","0,103371","0,106335","0,109223","0,108187","0,091","0,115","0,1025","0,1095","0,0717391","0,115385","0,113376","0,110577","0,116071","0,101974","0,109257","0,0803922","0,1575","0,09381","0,129353","0,0898058","0,0678776","0,121457","0,102649","0,110505","0,0870044","0,0929412","0,105625","0,185167","0,172"
"23,2","0,000114449",,"0,002",,,,,,,,,"0,002",,,,,,,,,,,,,,,,,,,,,
24,"0,110558","0,07321","0,0815","0,132876","0,10818","0,115385","0,11165","0,0701754","0,102","0,1025","0,095","0,0815","0,106522","0,117788","0,11465","0,115385","0,109375","0,0921053","0,0904198","0,0735294","0,07","0,122841","0,0820896","0,116505","0,0640535","0,107287","0,108168","0,0729877","0,0991189","0,112941","0,1125","0,139833","0,148"
25,"0,0848355","0,0651649","0,076","0,0499668","0,102671","0,104072","0,109223","0,108187","0,113","0,11","0,0925","0,076","0,119565","0,0769231","0,107643","0,0673077","0,116071","0,111842","0,0705059","0,0411765","0,1025","0,112284","0,0920398","0,0946602","0,0296367","0,139676","0,107616","0,0818554","0,0936123","0,112941","0,0975","0,0503333","0,0595"
26,"0,0165951","0,0229284","0,0195","0,00674331","0,0197497","0,0158371","0,0169903","0,00877193","0,015","0,02","0,0325","0,0195","0,0608696","0,0144231","0,0197452","0,0192308","0,0223214","0,0197368","0,0166846","0,0264706","0,0125","0,0215931","0,0273632","0,0169903","0,00573614","0,0222672","0,0137969","0,0204638","0,0165198","0,0223529","0,0190625","0,00683333","0,007"
27,"0,0020887","0,00362027","0,005","0,00132655","0,00196097",,"0,00242718",,,"0,0025",,"0,005",,"0,00480769","0,00127389",,"0,00223214","0,00164474","0,00161464","0,00686275","0,0025","0,00167946","0,00497512","0,00242718","0,000956023","0,00202429","0,00331126","0,00136426","0,00110132","0,00470588","0,0025","0,00116667","0,002"
28,"0,000257511",,,"0,000110546","0,000373518",,,,,,,,"0,00217391",,"0,000636943",,,,,,,"0,000959693",,,,,"0,000551876",,,,"0,0003125","0,000166667",
29,"0,0000286123",,,,"0,0000466897",,,,,,,,,,,,,,"0,000538213",,,,,,,,,,,,,,
D2S441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
