population,n,marker,Hobs,PI,PPE,HWE
Asian,97,D22S1045,0.7010309278350515,0.10298650228504622,0.5349885947374777,0.025625
Asian,97,D2S1338,0.9072164948453608,0.042831331703687935,0.7382198191861516,0.1675
Asian,97,D2S441,0.8144329896907216,0.1187161228610904,0.5259107683043798,0.444063
Asian,97,D3S1358,0.7422680412371134,0.14847486449144434,0.46133046262731775,0.491563
Asian,97,D5S818,0.8144329896907216,0.07896694654054628,0.5958025938697239,0.520625
Asian,97,D6S1043,0.8350515463917526,0.03241577213306409,0.7562369118911809,0.43875
Asian,97,D7S820,0.6804123711340206,0.09852269104049313,0.5361073140265693,0.340313
Asian,97,D8S1179,0.9072164948453608,0.04920820491019236,0.6976018409110187,0.55125
Asian,97,F13A01,0.6701030927835052,0.19353810181740885,0.38721449181858125,0.160312
Asian,97,F13B,0.3711340206185567,0.3880327346157934,0.2191121089156468,0.062812
Asian,97,FESFPS,0.8247422680412371,0.14741205229036028,0.48546090883341586,0.095312
Asian,97,FGA,0.8762886597938144,0.052821766393878186,0.6993774881697925,0.072813
Asian,97,LPL,0.5670103092783505,0.28536507599107236,0.29151086780297586,0.213438
Asian,97,Penta_C,0.7216494845360825,0.10171112764374535,0.5234837124362358,0.395625
Asian,97,Penta_D,0.7422680412371134,0.07662875969816131,0.5908280547040399,0.551562
Asian,97,Penta_E,0.9175257731958762,0.01944946327983846,0.8346662301994306,0.795
Asian,97,SE33,0.9278350515463918,0.019024338399404834,0.8767210231567862,0.009062
Asian,97,TH01,0.6804123711340206,0.1361462429588692,0.45350441139361736,0.808438
Asian,97,TPOX,0.6185567010309279,0.21224359655648842,0.3525455003625461,0.979062
Asian,97,vWA,0.8144329896907216,0.08853225635030289,0.5871887054771912,0.093438
